"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165267","should complete all Violation flows","","Tue Mar 24 19:35:51 IST 2026","passed","Tue Mar 24 19:38:36 IST 2026","","Home Screen Functionality","",""
"","35378","should login and reach Home screen","","Tue Mar 24 19:30:32 IST 2026","passed","Tue Mar 24 19:31:08 IST 2026","","Login flow","",""
"","38399","should open Work Progress and return to Home","","Tue Mar 24 19:31:42 IST 2026","passed","Tue Mar 24 19:32:20 IST 2026","","Home Screen Functionality","",""
"","38155","should open Daily Work Plan and return to Home","","Tue Mar 24 19:35:13 IST 2026","passed","Tue Mar 24 19:35:51 IST 2026","","Home Screen Functionality","",""
"","20118","should handle Clock In if available","","Tue Mar 24 19:31:22 IST 2026","failed","Tue Mar 24 19:31:42 IST 2026","","Home Screen Functionality","",""
"","17022","should perform Clock Out at the end","","Tue Mar 24 19:38:36 IST 2026","failed","Tue Mar 24 19:38:53 IST 2026","","Home Screen Functionality","",""
"","3378","should logout from the app","","Tue Mar 24 19:39:05 IST 2026","passed","Tue Mar 24 19:39:09 IST 2026","","Logout flow","",""
"","5374","should launch the GWL TrashScan app","","Tue Mar 24 19:30:16 IST 2026","passed","Tue Mar 24 19:30:21 IST 2026","","Launch App Test","",""
"","76435","should open Activity Logs and return to Home","","Tue Mar 24 19:33:19 IST 2026","passed","Tue Mar 24 19:34:35 IST 2026","","Home Screen Functionality","",""
"","37508","should open Add Notes and return to Home","","Tue Mar 24 19:34:35 IST 2026","passed","Tue Mar 24 19:35:13 IST 2026","","Home Screen Functionality","",""
"","392892","should open Pickup and return to Home","","Tue Mar 24 19:32:20 IST 2026","broken","Tue Mar 24 19:38:53 IST 2026","","Home Screen Functionality","",""
